Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL4783308,,None,325.32,0,3.57,27,Cn1cc(C(=O)c2nc3ccc(F)cc3n2C)c2cccc(F)c21,EC50,=',1.21,nM,8.92,,,UO_0000065,27.41,0.51,5.35,22.39,0,CHEMBL4774177,Modulation of PCSK9 in human HepG2 cells assessed as reduction in PCSK9 expression incubated for 24 hrs prior to compound washout followed by compound addition and measured after 24 hrs by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4765433,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 48.0 hr,MODULATOR,
CHEMBL4642977,,None,929.87,2,6.53,Example 12,COC[C@@H]1NC(=O)[C@H](C)N(Cc2ccc(Cl)cc2Oc2ccc(-c3cnc(CN(C)C)n3C)nc2)C(=O)C[C@@H](CC(F)(F)F)C(=O)N2CCC[C@@](Cc3ccc(Cl)cc3)(C2)N(C)C1=O,Imax,=',112.8,%,,,,UO_0000187,,,,,0,CHEMBL4622705,Inhibition of human PCSK9 by Alexa Fluor 647 staining based TR-FRET assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4619822,1,Scientific Literature,ACS Med Chem Lett,2020,None,,,
CHEMBL221375,,None,354.40,1,5.30,7b,CCCCCc1c2c(c(C)c3c1Oc1cc(OC)ccc1O3)C(=O)OC2,Inhibition,=',-7.0,%,,,,UO_0000187,,,,,0,CHEMBL4315657,Inhibition of human PCSK9 at 40 uM relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4312009,1,Scientific Literature,Eur J Med Chem,2020,None,,,
CHEMBL373804,,None,310.35,0,4.91,2a,CCCCc1c2c(c(C)c3c1C(=O)OC3)Oc1ccccc1O2,Inhibition,=',95.0,%,,,,UO_0000187,,,,,0,CHEMBL4315657,Inhibition of human PCSK9 at 40 uM relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4312009,1,Scientific Literature,Eur J Med Chem,2020,None,,,
CHEMBL4108338,,None,434.89,0,2.66,BDBM200320,O=C(c1ccc(-n2nnc3cccnc32)cn1)N(c1ncccc1Cl)[C@@H]1CCCNC1,IC50,=',1500.0,nM,5.82,,356381,UO_0000065,13.39,0.26,3.16,5.73,0,CHEMBL3887820,"AlphaLISA Assay: An in-vitro AlphaLISA assay (Perkin Elmer) was developed in order to quantitate the level of PCSK9 secreted into the cell culture media following compound treatment. To detect and measure PCSK9 protein an in-house generated anti-PCSK9 antibody was coupled to AlphaLISA acceptor beads by an external vendor (PerkinElmer) and a second internally developed anti-PCSK9 antibody with an epiptope distinct from that of the acceptor beads was biotinylated in house. Streptavidin coated-donor beads (Perkin Elmer) are also included in the assay mixture which then binds the biotinylated anti-PCSK9 antibody and in the presence of PCSK9 this donor complex and acceptor beads are brought into close proximity. Upon excitation of the donor beads at 680 nm singlet oxygen molecules are released that trigger an energy transfer cascade within the acceptor beads resolving as a single peak of light emitted at 615 nm. The ability of compound to modulate PCSK9 protein levels in conditioned media by AlphaLISA was assessed in the human hepatocellular carcinoma cell line Huh7, stably over-expressing human PCSK9.",B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3886461,37,BindingDB Database,,2016,None,,,
CHEMBL4108540,,None,454.92,0,2.65,BDBM200341,Cn1ncc(-c2ccc(C(=O)N(c3ncccc3Cl)[C@@H]3CCCNC3)cc2)c1C(=O)NO,IC50,>',20000.0,nM,,,356399,UO_0000065,,,,,0,CHEMBL3887820,"AlphaLISA Assay: An in-vitro AlphaLISA assay (Perkin Elmer) was developed in order to quantitate the level of PCSK9 secreted into the cell culture media following compound treatment. To detect and measure PCSK9 protein an in-house generated anti-PCSK9 antibody was coupled to AlphaLISA acceptor beads by an external vendor (PerkinElmer) and a second internally developed anti-PCSK9 antibody with an epiptope distinct from that of the acceptor beads was biotinylated in house. Streptavidin coated-donor beads (Perkin Elmer) are also included in the assay mixture which then binds the biotinylated anti-PCSK9 antibody and in the presence of PCSK9 this donor complex and acceptor beads are brought into close proximity. Upon excitation of the donor beads at 680 nm singlet oxygen molecules are released that trigger an energy transfer cascade within the acceptor beads resolving as a single peak of light emitted at 615 nm. The ability of compound to modulate PCSK9 protein levels in conditioned media by AlphaLISA was assessed in the human hepatocellular carcinoma cell line Huh7, stably over-expressing human PCSK9.",B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3886461,37,BindingDB Database,,2016,None,,,
CHEMBL4109409,,None,463.93,0,2.71,BDBM200342,Cn1ncc(-c2ccc(C(=O)N(c3ncccc3Cl)[C@@H]3CCCNC3)cc2)c1-c1nn[nH]n1,IC50,>',20000.0,nM,,,356400,UO_0000065,,,,,0,CHEMBL3887820,"AlphaLISA Assay: An in-vitro AlphaLISA assay (Perkin Elmer) was developed in order to quantitate the level of PCSK9 secreted into the cell culture media following compound treatment. To detect and measure PCSK9 protein an in-house generated anti-PCSK9 antibody was coupled to AlphaLISA acceptor beads by an external vendor (PerkinElmer) and a second internally developed anti-PCSK9 antibody with an epiptope distinct from that of the acceptor beads was biotinylated in house. Streptavidin coated-donor beads (Perkin Elmer) are also included in the assay mixture which then binds the biotinylated anti-PCSK9 antibody and in the presence of PCSK9 this donor complex and acceptor beads are brought into close proximity. Upon excitation of the donor beads at 680 nm singlet oxygen molecules are released that trigger an energy transfer cascade within the acceptor beads resolving as a single peak of light emitted at 615 nm. The ability of compound to modulate PCSK9 protein levels in conditioned media by AlphaLISA was assessed in the human hepatocellular carcinoma cell line Huh7, stably over-expressing human PCSK9.",B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3886461,37,BindingDB Database,,2016,None,,,
CHEMBL4106546,,None,587.69,2,4.17,BDBM200350,CCOC(=O)OC(C(C)C)n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCNC4)cc3)cnn2C)n1,IC50,=',5220.0,nM,5.28,,356453,UO_0000065,8.99,0.17,1.11,3.72,0,CHEMBL3887821,"Cell Free Assay: In order to eliminate the permeability barrier inherent to the WT7 and SCHH cell-based assays a cell-free system was also established to access compound activity. A sequence containing the full length human PCSK9 (NCBI reference identifier, NM-174936.3, where coding sequence start annotated at position 363) along with 84 additional 3â¿² nucleotides, comprising a V5 tag and polylinkinker followed by an in frame modified firefly luciferase reporter (corresponding to nucleotide positions 283-1929 of pGL3, Gen Bank reference identifier JN542721.1) was cloned into the pT7CFE1 expression vector (ThermoScientific). The construct was then in-vitro transcribed using the MEGAscript T7 Kit (Life Technologies) and RNA subsequently purified incorporating the MEGAclear Kit (Life Technologies) according to manufacturer's protocols. HeLa cell lysates were prepared following the protocols described by Mikami (reference is Cell-Free Protein Synthesis Systems with Extracts from Cultured Human Cells, S. Mikami, T. Kobayashi and H. Imataka; from Methods in Molecular Biology, vol. 607, pages 43-52, Y. Endo et al. (eds.), Humana Press, 2010) with the following modifications.",B,BAO_0000219,cell-based format,None,None,None,HeLa,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3886461,37,BindingDB Database,,2016,CHEMBL3308376,,,
CHEMBL4107141,,None,557.66,2,3.56,BDBM200366,Cc1cccnc1N(C(=O)c1ccc(-c2cnn(C)c2-c2nnn(C(C)OC(=O)C(C)C)n2)cc1)[C@@H]1CCCNC1,IC50,=',8030.0,nM,05.09,,356469,UO_0000065,9.14,0.17,1.54,3.83,0,CHEMBL3887821,"Cell Free Assay: In order to eliminate the permeability barrier inherent to the WT7 and SCHH cell-based assays a cell-free system was also established to access compound activity. A sequence containing the full length human PCSK9 (NCBI reference identifier, NM-174936.3, where coding sequence start annotated at position 363) along with 84 additional 3â¿² nucleotides, comprising a V5 tag and polylinkinker followed by an in frame modified firefly luciferase reporter (corresponding to nucleotide positions 283-1929 of pGL3, Gen Bank reference identifier JN542721.1) was cloned into the pT7CFE1 expression vector (ThermoScientific). The construct was then in-vitro transcribed using the MEGAscript T7 Kit (Life Technologies) and RNA subsequently purified incorporating the MEGAclear Kit (Life Technologies) according to manufacturer's protocols. HeLa cell lysates were prepared following the protocols described by Mikami (reference is Cell-Free Protein Synthesis Systems with Extracts from Cultured Human Cells, S. Mikami, T. Kobayashi and H. Imataka; from Methods in Molecular Biology, vol. 607, pages 43-52, Y. Endo et al. (eds.), Humana Press, 2010) with the following modifications.",B,BAO_0000219,cell-based format,None,None,None,HeLa,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL3886461,37,BindingDB Database,,2016,CHEMBL3308376,,,
CHEMBL4287330,,None,407.51,1,5.10,16a,CCCOc1ccc2c(c1)c(C(=O)c1ccc(OC)cc1)cn2CC1CCOCC1,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL4255291,Inhibition of PCSK9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4251662,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL4789893,,None,1443.71,None,None,48,CC(C)(C)[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSCCNC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,Ki,=',4.2,nM,8.38,,,UO_0000065,5.80,None,None,None,0,CHEMBL4705223,Inhibition of AlexaFluor647-tagged cyclic peptide binding to avi-tagged-biotinylated human PCSK9 measured after 2 hrs by Lance Streptavidin Europium based FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4699634,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.0 hr,INHIBITOR,
CHEMBL4760531,,None,1390.65,None,None,52,CO[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,Ki,=',10.1,nM,8.00,,,UO_0000065,5.75,None,None,None,0,CHEMBL4705223,Inhibition of AlexaFluor647-tagged cyclic peptide binding to avi-tagged-biotinylated human PCSK9 measured after 2 hrs by Lance Streptavidin Europium based FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4699634,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.0 hr,INHIBITOR,
CHEMBL4759174,,None,1408.64,None,None,53,C[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2C[C@H](F)CN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,Ki,=',2.1,nM,8.68,,,UO_0000065,6.16,None,None,None,0,CHEMBL4705223,Inhibition of AlexaFluor647-tagged cyclic peptide binding to avi-tagged-biotinylated human PCSK9 measured after 2 hrs by Lance Streptavidin Europium based FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4699634,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.0 hr,INHIBITOR,
CHEMBL4761653,,None,1458.68,None,None,59,COc1ccc(C[C@@H]2NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCCC(=O)O)NC(=O)CCSCc3cccc(c3)CSCCNC(=O)[C@]3(C)CCCN3C2=O)cc1,Ki,=',80.7,nM,07.09,,,UO_0000065,4.86,None,None,None,0,CHEMBL4705223,Inhibition of AlexaFluor647-tagged cyclic peptide binding to avi-tagged-biotinylated human PCSK9 measured after 2 hrs by Lance Streptavidin Europium based FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4699634,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.0 hr,INHIBITOR,
CHEMBL4743663,,None,1677.92,None,None,63,C[C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)CNC(=O)[C@H](CCCCNC(=O)CCOCCOCCOCCOCCN)NC(=O)CCSCc1cccc(c1)CSC[C@@H](C(N)=O)NC2=O,Ki,=',10.7,nM,7.97,,,UO_0000065,4.75,None,None,None,0,CHEMBL4705223,Inhibition of AlexaFluor647-tagged cyclic peptide binding to avi-tagged-biotinylated human PCSK9 measured after 2 hrs by Lance Streptavidin Europium based FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4699634,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.0 hr,INHIBITOR,
CHEMBL4742833,,None,1415.66,None,None,42,COc1ccc(C[C@@H]2NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cccc(c3)CSCCNC(=O)[C@]3(C)CCCN3C2=O)cc1,Ki,=',3.9,nM,8.41,,,UO_0000065,5.94,None,None,None,0,CHEMBL4705223,Inhibition of AlexaFluor647-tagged cyclic peptide binding to avi-tagged-biotinylated human PCSK9 measured after 2 hrs by Lance Streptavidin Europium based FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4699634,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.0 hr,INHIBITOR,
CHEMBL4799936,,None,1401.63,None,None,46,C[C@@H]1NC(=O)CCSCc2cccc(c2)CSCCNC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@@H](CCCCN)NC1=O,Ki,,,,,,Not Determined,,,,,,0,CHEMBL4705223,Inhibition of AlexaFluor647-tagged cyclic peptide binding to avi-tagged-biotinylated human PCSK9 measured after 2 hrs by Lance Streptavidin Europium based FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4699634,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.0 hr,,
CHEMBL4641251,,None,932.84,2,6.93,Example 172,CNCc1ncc(-c2ccc(Oc3cc(Cl)cc(F)c3CN3C(=O)C[C@@H](CC(F)(F)F)C(=O)N4CCC[C@@](Cc5ccc(Cl)cc5)(C4)N(C)C(=O)[C@H](COC)NC(=O)[C@@H]3C)cc2)n1C,IC50,=',0.57,nM,9.24,,,UO_0000065,9.91,0.20,2.31,6.68,0,CHEMBL4622704,Inhibition of human PCSK9 by Alexa Fluor 647 staining based TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4619822,1,Scientific Literature,ACS Med Chem Lett,2020,None,,,
CHEMBL425471,,None,310.35,0,4.91,2b,CCCCc1c2c(c(C)c3c1Oc1ccccc1O3)C(=O)OC2,Inhibition,=',15.0,%,,,,UO_0000187,,,,,0,CHEMBL4315657,Inhibition of human PCSK9 at 40 uM relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4312009,1,Scientific Literature,Eur J Med Chem,2020,None,,,
CHEMBL4518684,,None,354.47,1,6.40,6b,CCCCCCc1c2c(c(C)c3c1Oc1ccccc1O3)C(=O)SC2,Inhibition,=',-4.0,%,,,,UO_0000187,,,,,0,CHEMBL4315657,Inhibition of human PCSK9 at 40 uM relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4312009,1,Scientific Literature,Eur J Med Chem,2020,None,,,
CHEMBL4457439,,None,389.25,1,5.28,5b,Cc1c2c(c(CCCCBr)c3c1C(=O)OC3)Oc1ccccc1O2,Inhibition,=',40.0,%,,,,UO_0000187,,,,,0,CHEMBL4315657,Inhibition of human PCSK9 at 40 uM relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4312009,1,Scientific Literature,Eur J Med Chem,2020,None,,,
CHEMBL4643586,,None,495.63,1,5.46,3f,Cc1cn(-c2cc(CN3CCC[C@H](N)C3)cc(NC(=O)c3ccc(C)c(Oc4ccccc4)c3)c2)cn1,Activity,,,,,,Active,,,,,,0,CHEMBL4628020,Binding affinity to biotinylated recombinant human PCSK9 at 0.8 to 1.6 uM incubated for 2 mins followed by further incubation for 10 mins by biolayer interferometry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4627281,1,Scientific Literature,Bioorg Med Chem,2020,None,,,
CHEMBL3040216,,None,1297.30,None,None,18,CC1=CCC(C(=O)/N=C2\CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=C/C1=N/C(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)/N=C3/CC(C(=O)/N=C4\CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1,FC,=',15.0,,,,,,,,,,0,CHEMBL4221948,Inhibition of PCSK9 in human HepG2 cells assessed as increase in LDL receptor levels at 200 uM after 18 to 24 hrs by Western blot analysis relative to control,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4219125,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,,
